               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.044466,              0.0588,                   0,             0.80298,             0.70572,             0.81131,             0.49131,            0.042266,            0.070612,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.043674,            0.056501,                   0,             0.85201,             0.70853,             0.83117,             0.50047,             0.04161,            0.068735,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.043779,            0.056389,                   0,             0.83545,             0.72803,             0.83527,             0.49978,            0.041513,            0.068238,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.043394,            0.054718,                   0,             0.84929,             0.68229,             0.82134,               0.496,            0.041801,             0.07229,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.042829,             0.05566,                   0,             0.80221,             0.70853,             0.81514,             0.48356,            0.042379,             0.07452,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,             0.04496,            0.058356,                   0,             0.82693,             0.62793,             0.77065,             0.45772,            0.044327,            0.079373,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.044358,            0.058342,                   0,              0.8307,             0.69728,             0.82123,             0.49616,            0.041605,            0.070304,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.043467,            0.059752,                   0,             0.77554,              0.7179,             0.81006,             0.48881,            0.041901,            0.072948,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.042966,            0.054305,                   0,             0.80941,             0.72042,             0.82929,             0.50029,            0.041651,            0.070473,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,             0.04314,            0.054394,                   0,             0.84009,             0.70408,             0.82784,             0.48919,            0.042107,            0.069743,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.043156,            0.055741,                   0,             0.83261,             0.71789,             0.82507,             0.50306,            0.041645,            0.069854,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.042521,            0.055058,                   0,             0.81722,             0.70478,             0.81973,              0.4809,            0.042781,             0.07355,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.043116,            0.053313,                   0,             0.79169,             0.69103,             0.80112,             0.48632,            0.042775,            0.076195,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.042649,            0.054907,                   0,             0.83016,             0.71462,             0.83366,              0.4979,            0.040919,            0.068525,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.043681,             0.05404,                   0,             0.84338,             0.70572,             0.82265,             0.48864,            0.042203,            0.070474,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.042096,            0.056087,                   0,             0.79628,             0.69728,             0.81055,             0.48804,            0.042432,             0.07558,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.041729,            0.056559,                   0,             0.82538,             0.73383,             0.83395,             0.50065,            0.041513,            0.069228,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.042552,            0.053841,                   0,             0.84518,             0.72071,             0.83732,             0.50323,            0.041175,            0.069437,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.041893,            0.053313,                   0,             0.84263,             0.72765,             0.83738,             0.51804,            0.040753,            0.070292,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.041848,            0.052812,                   0,             0.82496,             0.72634,             0.83661,             0.50475,            0.040974,             0.06925,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.042299,            0.054262,                   0,             0.81808,             0.72489,             0.82596,             0.50646,            0.041485,            0.071236,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.041682,            0.056751,                   0,             0.82631,             0.70197,             0.82561,             0.51159,            0.041349,            0.070617,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.041677,            0.053304,                   0,             0.83315,             0.70291,             0.81546,             0.50659,            0.041542,            0.072692,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.041614,            0.056391,                   0,             0.79346,             0.70947,             0.80612,             0.48972,            0.042219,            0.072564,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.041588,            0.054862,                   0,             0.83939,             0.70533,             0.82694,             0.51321,            0.041372,            0.069507,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.041672,            0.052014,                   0,             0.79638,             0.72352,             0.82125,              0.4822,            0.042244,              0.0702,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.041323,            0.051768,                   0,             0.78869,             0.70009,             0.79839,             0.48991,            0.041664,            0.077766,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.041301,            0.055117,                   0,             0.81049,             0.70384,              0.8146,             0.50587,            0.041232,            0.074792,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.042521,            0.055887,                   0,             0.82672,             0.73777,             0.84453,             0.51879,             0.04049,            0.068084,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.041468,            0.054815,                   0,             0.83171,             0.73643,             0.83824,             0.50743,            0.040973,             0.06837,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.041186,            0.054262,                   0,             0.81227,             0.71603,             0.82252,             0.50854,            0.041013,               0.073,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.040739,            0.050659,                   0,             0.83243,             0.70766,             0.82956,             0.51463,            0.040404,            0.070554,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.041741,            0.050664,                   0,             0.83085,             0.73197,             0.82551,              0.4947,            0.041256,            0.069732,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041948,            0.057822,                   0,             0.81008,             0.71955,             0.82984,              0.5009,            0.041036,            0.072716,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.041248,            0.050869,                   0,             0.82021,             0.73102,              0.8355,             0.51507,            0.040255,            0.069374,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041773,            0.054172,                   0,             0.84923,             0.67572,             0.82436,             0.50302,            0.040999,            0.074618,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.040719,            0.053451,                   0,             0.85346,             0.67685,              0.8185,              0.5071,            0.040904,            0.072795,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.041357,            0.053218,                   0,             0.83741,             0.74414,             0.84937,             0.50859,            0.040598,            0.067009,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.040714,            0.056095,                   0,             0.83757,             0.72974,             0.84725,             0.51664,            0.040097,            0.066862,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.040358,            0.052582,                   0,             0.83252,             0.71978,              0.8364,             0.52106,            0.039864,            0.069571,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.041331,            0.053766,                   0,             0.79063,             0.73852,             0.83007,               0.512,            0.040318,            0.071935,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.040766,            0.054899,                   0,              0.8326,             0.70478,             0.82995,             0.50327,            0.040856,            0.071977,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.039507,            0.054037,                   0,             0.84391,             0.70941,             0.82877,             0.51916,            0.040414,            0.070148,                   0,           0.0031195,           0.0031195,           0.0031195
